"nodeid","nodeip","timestamp","startDelay","skipDelay","experimentID"
"pli1-pa-4.hpl.hp.com","204.123.28.55","1421837431853","17270","49947","1"
"planetlab2.ecs.vuw.ac.nz","130.195.4.69","1421837427350","14554","59889","1"
"aguila2.lsi.upc.edu","147.83.29.234","1421837465411","26449","1633","1"
"planetlab1.ucsd.edu","132.239.17.224","1421837441699","21493","38228","1"
"planetlab1.cs.columbia.edu","128.59.20.226","1421837437104","14488","57979","1"
"pl2.bell-labs.fr","159.217.144.112","1421837424637","2362","85328","1"
"ple2.ait.ac.th","203.159.63.250","1421837432932","14158","64784","1"
"pl2.cs.montana.edu","153.90.1.35","1421837406945","13169","92852","1"
"plab4.ple.silweb.pl","83.230.127.124","1421837409165","4566","100042","1"
"plab1.cs.msu.ru","188.44.50.106","1421837408340","6041","99466","1"
"planetlab01.tkn.tu-berlin.de","130.149.49.136","1421837415202","5340","94084","1"
"planetlab1.u-strasbg.fr","130.79.48.55","1421837421214","10517","83473","1"
"planet1.elte.hu","157.181.175.249","1421837410124","3794","101071","1"
"planetlab2.cs.okstate.edu","139.78.141.245","1421837425879","11069","78224","1"
"planck227ple.test.ibbt.be","193.191.148.227","1421837414731","1428","98953","1"
"planetlab1.temple.edu","129.32.84.160","1421837420212","95305","5","1"
"ple2.cesnet.cz","195.113.161.14","1421837429348","2470","83600","1"
"ple2.ipv6.lip6.fr","132.227.62.120","1421837438114","77669","91","1"
"plewifi.ipv6.lip6.fr","132.227.62.118","1421837430583","85468","15","1"
"planetlab-node3.it-sudparis.eu","157.159.226.74","1421837413689","5531","96682","1"
"planetlab-02.vt.nodes.planet-lab.org","198.82.160.239","1421837412222","6954","96967","1"
"planetlab2.cnds.jhu.edu","128.220.231.3","1421837424734","6660","85026","1"
"onelab3.info.ucl.ac.be","130.104.72.213","1421837403339","113274","5","1"
"node2.planetlab.mathcs.emory.edu","170.140.119.70","1421837409165","5525","101752","1"
"planetlab-1.research.netlab.hut.fi","195.148.124.73","1421837411364","7280","97973","1"
"pl2.ucs.indiana.edu","156.56.250.227","1421837411235","4670","100880","1"
"vn4.cse.wustl.edu","128.252.19.19","1421837434983","8569","73417","1"
"planet-plc-2.mpi-sws.org","139.19.158.227","1421837408376","6194","102468","1"
"planetlab4.hiit.fi","193.167.187.186","1421837428984","7638","80315","1"
"planetlab3.cnds.jhu.edu","128.220.231.4","1421837429642","13780","73671","1"
"planetlab3.cesnet.cz","195.113.161.84","1421837425834","14095","77366","1"
"roti.mimuw.edu.pl","193.0.109.23","1421837432617","3827","80693","1"
"planetlab-2.ida.liu.se","192.36.94.3","1421837412860","6498","98116","1"
"planetlab1.tlm.unavarra.es","130.206.158.138","1421837422405","94780","109","1"
"planetlab-01.vt.nodes.planet-lab.org","198.82.160.238","1421837411765","5790","100092","1"
"plab3.cs.msu.ru","93.180.19.232","1421837409002","5200","103357","1"
"planetlab6.goto.info.waseda.ac.jp","133.9.81.166","1421837430482","14990","71949","1"
"pl3.cs.unm.edu","198.83.85.46","1421837408418","10292","98977","1"
"ple1.cesnet.cz","195.113.161.13","1421837429305","15656","72981","1"
"planetlab01.alucloud.com","135.109.221.103","1421837415006","2546","100291","1"
"mars.planetlab.haw-hamburg.de","141.22.213.35","1421837468971","11104","37346","1"
"planetlab4.cnds.jhu.edu","128.220.231.5","1421837438585","8417","71125","1"
"planet-lab-node2.netgroup.uniroma2.it","160.80.221.39","1421837408872","18999","90470","1"
"planetlab2.cs.uml.edu","129.63.159.102","1421837424252","8523","85495","1"
"planetlab2.cs.ubc.ca","142.103.2.2","1421837423593","5026","89688","1"
"planetlab-1.cs.uic.edu","131.193.34.21","1421837383606","3995","102837","1"
"planetlab-tea.ait.ie","193.1.13.14","1421837413570","2521","102526","1"
"planetlab01.dis.unina.it","143.225.229.236","1421836714752","7360","94294","1"
"planetlab1.xeno.cl.cam.ac.uk","128.232.103.201","1421837421062","5068","92519","1"
"planetlab2.diku.dk","192.38.109.144","1421837432484","18298","73834","1"
"pl1.eecs.utk.edu","160.36.57.172","1421837410233","108239","49","1"
"planetlab2.wiwi.hu-berlin.de","141.20.103.211","1421837438336","17165","63297","1"
"ricepl-2.cs.rice.edu","128.42.142.42","1421837435468","8006","75291","1"
"pl2.sos.info.hiroshima-cu.ac.jp","165.242.90.129","1421837410217","9611","98763","1"
"planetlab2.cs.unc.edu","204.85.191.11","1421837438120","6106","74625","1"
"planetlab1.acis.ufl.edu","128.227.150.11","1421837432030","8828","78116","1"
"planet-lab1.cs.ucr.edu","169.235.24.133","1421837410847","6275","101834","1"
"vicky.planetlab.ntua.gr","147.102.224.227","1421837437680","10807","70434","1"
"planetlab1.cnds.jhu.edu","128.220.231.2","1421837416814","4200","97991","1"
"righthand.eecs.harvard.edu","140.247.60.126","1421837433045","3816","82179","1"
"planetlab2.s3.kth.se","130.237.50.125","1421837425453","10038","83532","1"
"plink.cs.uwaterloo.ca","129.97.74.12","1421837432120","11652","75551","1"
"planetlab2.ics.forth.gr","139.91.90.239","1421837426635","15249","77113","1"
"planet4.cc.gt.atl.ga.us","143.215.131.199","1421837412783","9424","97176","1"
"ple6.ipv6.lip6.fr","132.227.62.124","1421837430395","89118","7","1"
"planetlab2.upc.es","147.83.30.167","1421837429254","3470","86737","1"
"planetlab-1.cs.ucy.ac.cy","194.42.17.123","1421853422176","5816","91735","1"
"planet2.servers.ua.pt","193.137.173.218","1421837410792","2721","106112","1"
"ple4.ipv6.lip6.fr","132.227.62.122","1421837429242","90560","5","1"
"planetlab-um00.di.uminho.pt","193.136.19.13","1421837414087","8751","96679","1"
"planetlab1.cs.unc.edu","204.85.191.10","1421837418384","8262","93188","1"
"pl1.rcc.uottawa.ca","216.48.80.12","1421837415724","6112","97949","1"
"planetvs2.informatik.uni-stuttgart.de","129.69.210.97","1421837429107","4505","86420","1"
"planetlab-4.eecs.cwru.edu","129.22.150.29","1421837415886","8141","95915","1"
"plab3.eece.ksu.edu","129.130.252.140","1421837412643","8159","98390","1"
"planetlab1.fit.vutbr.cz","147.229.8.26","1421835203767","4375","96061","1"
"planetlab2.mini.pw.edu.pl","194.29.178.6","1421837424326","15606","80539","1"
"planetlab1.pop-mg.rnp.br","200.19.159.34","1421837425560","10392","84180","1"
"planetlab1.tsuniv.edu","206.23.240.28","1421837421509","15901","82630","1"
"planetlab1.cs.purdue.edu","128.10.18.52","1421837419112","9087","92341","1"
"pl1.sos.info.hiroshima-cu.ac.jp","165.242.90.128","1421837409894","11496","98989","1"
"planetlab1.utt.fr","194.254.215.11","1421837425130","7222","85014","1"
"planetlab-1.tagus.ist.utl.pt","193.136.166.66","1421837413362","9603","97730","1"
"pluto.cs.brown.edu","192.91.235.230","1421837435627","9140","76053","1"
"planetlab-2.tagus.ist.utl.pt","193.136.166.68","1421837415040","2136","103756","1"
"planetlab2.koganei.itrc.net","133.69.32.133","1421837426376","10703","83375","1"
"planetlab3.rutgers.edu","165.230.49.118","1421837687404","6652","85885","1"
"planetlab1.cs.uml.edu","129.63.159.101","1421837417821","8998","94251","1"
"planetlab1.cs.du.edu","130.253.21.121","1421837420882","5343","94873","1"
"plnode-03.gpolab.bbn.com","192.1.249.137","1421837430711","7567","83083","1"
"planetlab2.csee.usf.edu","131.247.2.242","1421837448986","34064","37835","1"
"planetlab2.netlab.uky.edu","128.163.142.21","1421837432588","13824","74907","1"
"planetlab2.arizona-gigapop.net","206.207.248.35","1421837426037","7525","87870","1"
"planetlab2.cs.uoregon.edu","128.223.8.112","1421837428635","11284","81498","1"
"ple2.tu.koszalin.pl","62.108.171.76","1421837431309","8645","76088","1"
"planet2.cc.gt.atl.ga.us","143.215.131.197","1421837412853","10964","97595","1"
"stella.planetlab.ntua.gr","147.102.224.228","1421837449659","8756","62983","1"
"planetlab4.georgetown.edu","209.148.46.136","1421837427611","11500","82637","1"
"planetlab2.temple.edu","129.32.84.161","1421837425187","96617","7","1"
"planetlab3.cs.uoregon.edu","128.223.8.113","1421837433847","9178","78653","1"
"planetlab2.extern.kuleuven.be","193.190.168.51","1421837423538","17573","80865","1"
"planetlab1.cs.pitt.edu","192.52.240.213","1421837479418","36420","4763","1"
"planetlab1.dojima.wide.ad.jp","203.178.133.11","1421840262633","10485","88551","1"
"planetlab2.eecs.wsu.edu","134.121.64.7","1421837427920","7336","86631","1"
"planetlab1.sfc.wide.ad.jp","203.178.143.10","1421837424326","7022","90025","1"
"planetlab4.williams.edu","137.165.1.114","1421837430970","9824","81380","1"
"planet-lab2.cs.ucr.edu","169.235.24.232","1421837411323","6951","103985","1"
"planetlab-04.vt.nodes.planet-lab.org","198.82.160.221","1421837411993","5261","104980","1"
"plab4.eece.ksu.edu","129.130.252.141","1421837410284","5850","106037","1"
"pl-node-1.csl.sri.com","192.12.33.102","1421837420445","8045","92261","1"
"planetlab2.ci.pwr.wroc.pl","156.17.10.52","1421837423574","8557","89997","1"
"planetlab2.sics.se","193.10.64.36","1421837438526","4237","79423","1"
"planet-lab3.uba.ar","157.92.44.103","1421837416189","11139","94489","1"
"vn5.cse.wustl.edu","128.252.19.18","1421837436221","4688","81613","1"
"pl2.6test.edu.cn","219.243.208.62","1421837409436","11773","100834","1"
"pl2.cs.yale.edu","128.36.233.154","1421837407900","14661","100198","1"
"planetlab1.virtues.fi","85.23.168.76","1421837431715","8700","82427","1"
"planetlab1.upc.es","147.83.30.166","1421837426214","3682","92444","1"
"ple2.dmcs.p.lodz.pl","212.51.218.237","1421837707380","11960","79363","1"
"planetlab2.csuohio.edu","137.148.16.11","1421837424536","12717","85827","1"
"planetlab2.williams.edu","137.165.1.112","1421837429087","10821","83167","1"
"planetlab3.georgetown.edu","209.148.46.135","1421837426571","7950","88604","1"
"planetlab4.goto.info.waseda.ac.jp","133.9.81.164","1421837432068","8388","82411","1"
"planetlab1.s3.kth.se","130.237.50.124","1421837422653","9463","90705","1"
"planetlab3.hiit.fi","193.167.187.185","1421837428447","12088","82717","1"
"planetlab1.koganei.itrc.net","133.69.32.131","1421837421307","7741","94145","1"
"ple1.ait.ac.th","203.159.63.249","1421837432484","20298","70254","1"
"planetlab-1.calpoly-netlab.net","208.94.63.193","1421837412452","8345","102562","1"
"pl2.eng.monash.edu.au","130.194.252.9","1421837411451","12630","98887","1"
"planetlab1.bgu.ac.il","132.72.23.10","1421837417301","12846","92091","1"
"pl2.zju.edu.cn","210.32.181.184","1421837412338","20243","89529","1"
"saturn.planetlab.carleton.ca","134.117.226.180","1421837433687","3378","86917","1"
"pl1.eng.monash.edu.au","130.194.252.8","1421837408989","12846","102029","1"
"planetlab3.wail.wisc.edu","198.133.224.147","1421837430424","12309","81490","1"
"planetlab4.postel.org","206.117.37.7","1421837431140","7695","84722","1"
"planet1.pnl.nitech.ac.jp","133.68.253.242","1421837240273","10580","101997","1"
"planetlab-2.cs.colostate.edu","129.82.12.188","1421837419282","10537","95718","1"
"planet2.pnl.nitech.ac.jp","133.68.253.243","1421836978704","10996","102221","1"
"planetlab1.cs.uiuc.edu","72.36.112.71","1421837450859","11608","61665","1"
"node1.planetlab.albany.edu","169.226.40.2","1421837415202","4764","105055","1"
"planetlab-2.calpoly-netlab.net","208.94.63.194","1421837412380","4310","108661","1"
"planetlab-5.eecs.cwru.edu","129.22.150.78","1421837415518","9329","100742","1"
"onelab2.info.ucl.ac.be","130.104.72.201","1421837446709","96124","50","1"
"planetlab2.rutgers.edu","165.230.49.115","1421837327915","63835","173","1"
"planetlab2.cs.ucla.edu","131.179.150.72","1421837428337","8518","89195","1"
"planetlab2.cs.columbia.edu","128.59.20.227","1421837484644","40710","191","1"
"planetlab3.cs.columbia.edu","128.59.20.228","1421837443584","28853","53229","1"
"planet-lab4.uba.ar","157.92.44.104","1421837414399","11376","100110","1"
"pl1.6test.edu.cn","219.243.208.60","1421837409216","20070","96811","1"
"planetlab-1.scie.uestc.edu.cn","222.197.180.137","1421837415406","6634","103821","1"
"plab1.create-net.org","193.206.22.133","1421837425461","23378","77074","1"
"planetlab-3.cmcl.cs.cmu.edu","128.2.211.115","1421837488883","21436","13145","1"
"planetlab1.comp.nus.edu.sg","137.132.3.8","1421837247701","103787","7","1"
"onelab1.info.ucl.ac.be","130.104.72.200","1421837630774","94087","119","1"
"planetlab1.utdallas.edu","129.110.125.51","1421837438609","18444","64448","1"
"planetlab1.postel.org","206.117.37.4","1421837474769","34043","17611","1"
"planetlab1.rutgers.edu","165.230.49.114","1421836256192","21087","22421","1"
"planetlab03.cs.washington.edu","128.208.4.199","1421837424810","12753","90509","1"
"planetlab-n2.wand.net.nz","130.217.77.4","1421837415565","9837","102848","1"
"planetlab1.eecs.umich.edu","141.213.4.201","1421837468459","59621","369","1"
"planetlab2.cqupt.edu.cn","202.202.43.199","1421837426133","15319","87932","1"
"planetlab-2.scie.uestc.edu.cn","222.197.180.139","1421837415367","11217","102920","1"
"planetlab3.comp.nus.edu.sg","137.132.250.9","1421837436987","92657","6","1"
"planetlab2.cesnet.cz","195.113.161.83","1421837427550","3409","99156","1"
"planetlab3.arizona-gigapop.net","206.207.248.38","1421837428700","4578","97191","1"
"planetlab2.jcp-consult.net","80.65.237.11","1421837424173","5715","104160","1"
"planetlab2.utdallas.edu","129.110.125.52","1421837443600","25154","62705","1"
"pli1-pa-6.hpl.hp.com","204.123.28.57","1421837448486","20912","61432","1"
"planetlab1.pjwstk.edu.pl","148.81.140.193","1421837435423","7247","89190","1"
"planetlab2.fct.ualg.pt","193.136.227.164","1421837446987","68814","21240","1"
"planetlab3.ucsd.edu","132.239.17.226","1421837448039","21950","63241","1"
"kc-sce-plab2.umkc.edu","204.56.0.138","1421837422017","10098","111417","1"
"anateus.ipv6.lip6.fr","132.227.62.85","1421837684239","8","10","2"
"aguila2.lsi.upc.edu","147.83.29.234","1421837684022","392","111","2"
"empusa.ipv6.lip6.fr","132.227.62.96","1421837687223","8","9","2"
"host1.planetlab.informatik.tu-darmstadt.de","130.83.166.243","1421837688913","5","6","2"
"host3.planetlab.informatik.tu-darmstadt.de","130.83.166.247","1421837690201","8","10","2"
"icnalplabs2.epfl.ch","192.33.193.18","1421837686954","4","4","2"
"75-130-96-12.static.oxfr.ma.charter.com","75.130.96.12","1421837684566","5612","5161","2"
"iraplab2.iralab.uni-karlsruhe.de","193.196.39.10","1421835046515","2395","1877","2"
"ebb.colgate.edu","149.43.80.20","1421837686723","5434","4896","2"
"flow.colgate.edu","149.43.80.22","1421837688801","4907","3887","2"
"node1.planetlab.uni-luebeck.de","141.83.148.101","1421837698385","4","4","2"
"mars.planetlab.haw-hamburg.de","141.22.213.35","1421837694457","2253","1727","2"
"merkur.planetlab.haw-hamburg.de","141.22.213.34","1421837695326","2303","1720","2"
"cs-planetlab4.cs.surrey.sfu.ca","206.12.16.155","1421837686346","7965","7239","2"
"node1.planetlab.albany.edu","169.226.40.2","1421837696992","3774","5117","2"
"node2.planetlab.mathcs.emory.edu","170.140.119.70","1421837701626","5139","11884","2"
"pl1.tailab.eu","194.79.147.164","1421837725557","51","5","2"
"pl2.tailab.eu","194.79.147.165","1421837728613","49","22","2"
"peeramidion.irisa.fr","131.254.208.11","1421837705233","4139","20461","2"
"pl4.cs.unm.edu","198.83.85.47","1421837729265","7073","6653","2"
"plab4.eece.ksu.edu","129.130.252.141","1421837734955","7276","6036","2"
"plab3.eece.ksu.edu","129.130.252.140","1421837733678","10253","6058","2"
"pl2.6test.edu.cn","219.243.208.62","1421837719638","12392","17838","2"
"pl1.bell-labs.fr","159.217.144.110","1421837709462","6627","37596","2"
"planetlab-1.fhi-fokus.de","193.175.135.58","1421837758501","167","41","2"
"planet1.elte.hu","157.181.175.249","1421837743069","6405","10410","2"
"planetlab-1.ing.unimo.it","155.185.54.249","1421837759947","45","5","2"
"node1.planetlab.mathcs.emory.edu","170.140.119.69","1421837700322","5034","55262","2"
"planet-lab-node2.netgroup.uniroma2.it","160.80.221.39","1421837736711","14386","10521","2"
"planet-lab-node1.netgroup.uniroma2.it","160.80.221.37","1421837736299","14950","10568","2"
"pl1.rcc.uottawa.ca","216.48.80.12","1421837714645","5247","41947","2"
"kc-sce-plab2.umkc.edu","204.56.0.138","1421837711251","7648","42283","2"
"planet-lab3.uba.ar","157.92.44.103","1421837743988","10784","9326","2"
"pl2.eng.monash.edu.au","130.194.252.9","1421837725769","12580","27589","2"
"pl-node-0.csl.sri.com","192.12.33.100","1421837708274","5652","46381","2"
"planetlab-13.e5.ijs.si","193.138.2.13","1421837767249","135","20","2"
"pl2.ucs.indiana.edu","156.56.250.227","1421837727734","7988","31660","2"
"planet-plc-2.mpi-sws.org","139.19.158.227","1421837741619","8182","19173","2"
"pl2.sos.info.hiroshima-cu.ac.jp","165.242.90.129","1421837725440","19106","24816","2"
"planetlab-2.fhi-fokus.de","193.175.135.59","1421837770723","180","68","2"
"planetlab-2.ing.unimo.it","155.185.54.250","1421837771938","4","5","2"
"planetlab-01.bu.edu","204.8.155.226","1421837752421","4531","16198","2"
"pl1.eng.monash.edu.au","130.194.252.8","1421837716908","14992","47777","2"
"pl2.bell-labs.fr","159.217.144.112","1421837717473","2094","57840","2"
"plab4.ple.silweb.pl","83.230.127.124","1421837733684","15834","32412","2"
"pl1.6test.edu.cn","219.243.208.60","1421837712509","18826","53474","2"
"onelab4.warsaw.rd.tp.pl","195.116.53.24","1421837704928","19804","62401","2"
"planetlab-1.scie.uestc.edu.cn","222.197.180.137","1421837766182","14866","7065","2"
"planetlab-2.calpoly-netlab.net","208.94.63.194","1421837770589","11219","12742","2"
"planck227ple.test.ibbt.be","193.191.148.227","1421837739980","13338","42515","2"
"planet-lab2.cs.ucr.edu","169.235.24.232","1421837740290","6302","50745","2"
"planetlab-1.cs.uic.edu","131.193.34.21","1421837730735","6005","31997","2"
"planetlab-02.vt.nodes.planet-lab.org","198.82.160.239","1421837754711","17775","26695","2"
"planet-lab4.uba.ar","157.92.44.104","1421837746590","28200","25984","2"
"planetlab-1.tagus.ist.utl.pt","193.136.166.66","1421837765578","9175","29457","2"
"planetlab-1.ida.liu.se","192.36.94.2","1421837758918","14074","31729","2"
"planetlab-2.ida.liu.se","192.36.94.3","1421837771521","7948","25239","2"
"onelab3.warsaw.rd.tp.pl","195.116.53.23","1421837705210","6570","92796","2"
"plab1.cs.msu.ru","188.44.50.106","1421837729846","3474","72547","2"
"planet1.servers.ua.pt","193.137.173.217","1421837776903","17587","11424","2"
"planetlab-tea.ait.ie","193.1.13.14","1421837786854","11223","8185","2"
"planetlab-1.cs.ucy.ac.cy","194.42.17.123","1421853764507","6802","35831","2"
"planetlab-01.vt.nodes.planet-lab.org","198.82.160.238","1421837752869","9208","48600","2"
"pl2.cs.yale.edu","128.36.233.154","1421837721417","14275","75887","2"
"pl1.sos.info.hiroshima-cu.ac.jp","165.242.90.128","1421837717449","16174","78694","2"
"planetlab-coffee.ait.ie","193.1.13.12","1421837782767","12482","17553","2"
"planetlab-1.research.netlab.hut.fi","195.148.124.73","1421837760935","12292","39884","2"
"planetlab-2.tagus.ist.utl.pt","193.136.166.68","1421837776768","7153","29550","2"
